decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211107_144755,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211107_155732,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211107_170728,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211107_181651,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_103244,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_114135,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_124901,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_135745,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_150630,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_173214,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_181447,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_185723,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211108_194024,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211109_104418,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211109_113855,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211109_123541,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211109_132923,16,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,-1,"[0, 2]",160,16,80,5,0,0.0,20211109_142433,16,True,False,U
