,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,12,1.0083484847346509,15,1.0086790041104916,32,1.0093397181656267,20,1.0090094152187083,14,1.008612908900139
1,16,1.0011826340217185,16,1.0017151957184902,32,1.0051036430803209,12,1.0021809550508662,101,1.006628034578811
2,12,1.000116659861905,22,1.00131580100053,15,1.0036433629531958,32,1.0020479030465559,25,1.0059655395025549
3,13,0.9995832464915899,15,1.0008496390567367,48,1.0037762034769835,20,1.0021809550508665,37,1.005302607841705
4,22,0.9997833098560241,14,1.0005831632936197,16,1.003377629144016,28,1.0019813704189646,31,1.0049046389251735
5,13,0.999649938728553,22,1.0005165332633605,13,1.0028459502834919,45,1.0024470060806208,14,1.0043073898629509
6,17,0.9997166265164011,13,1.000383259889262,16,1.0022474744293448,11,1.0021809550508665,14,1.0039754313062978
7,42,1.0003166165436488,14,1.0002499687578101,13,1.0021144312568966,17,1.0017817460238865,55,1.0044401425669924
8,14,1.00058316329362,10,1.0000499987500624,16,1.0014489502715553,17,1.0016486409914407,24,1.004307389862951
9,22,1.000649788887201,19,1.000183316530858,18,1.001515518268855,13,1.0013158010005303,23,1.003510504844535
10,19,1.0011826340217187,20,0.9999833331944421,12,1.0011826340217187,18,1.001515518268855,12,1.0036433629531958
11,26,1.0011160438896847,22,1.0005165332633605,22,1.00131580100053,23,1.0015820818418562,25,1.0031118249394397
12,24,1.0016486409914407,32,1.0009162469124642,32,1.001515518268855,56,1.0017151957184902,21,1.0029788964213886
13,19,1.0014489502715553,30,1.000982850335942,26,1.0015820818418562,13,1.0018482919085105,22,1.0031118249394397
14,35,1.0012492197250393,10,1.000649788887201,13,1.0014489502715553,12,1.0021809550508665,41,1.0032447358446492
15,15,1.0014489502715553,47,1.000982850335942,16,1.0013823778490747,14,1.0018482919085105,15,1.003377629144016
16,12,1.0009162469124642,15,1.000649788887201,19,1.00131580100053,21,1.0016486409914407,15,1.0034440691936946
