,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,15,1.0,25,1.0,24,1.0
1,18,1.0,30,1.0,26,1.0
2,33,1.0,19,1.0,27,1.0
3,27,1.0,26,1.0,26,1.0
4,53,1.0,40,1.0,13,1.0
5,46,1.0,13,1.0,14,1.3221561462247946
6,17,1.0453483271139816,12,1.0,12,2.122335829928902
7,13,1.3548875645233445,13,1.7124635032607265,29,3.3329132808250503
8,25,1.5744919815610368,11,3.3206564674774777,19,2.804029188061351
9,17,2.0271208030110097,19,3.02107441566738,16,3.796250205795187
10,12,3.547730788828262,18,4.633275704078056,14,6.519066627018012
11,13,6.325156865643728,85,7.8531560136673715,15,8.766363538406333
12,18,6.631148090640111,32,9.102101234055793,24,11.514072571748887
13,11,6.408929317756594,24,7.984785923867965,20,10.896074694586119
14,33,6.261688195886154,18,10.991894883276496,13,12.84332876438192
15,15,11.009823596452398,29,8.686363594738594,18,11.138140203261047
16,83,9.472508330030648,45,8.543867775340393,12,13.495993039602533
17,12,8.3888400568851,38,8.177235263981341,20,8.871184302983453
18,36,6.712178297691444,9,11.389651827426508,14,9.37488833266829
19,12,9.118556457850113,18,12.909411053568633,37,9.314010280217646
20,27,9.479164652014438,13,8.888485177464156,20,10.947566224965255
21,19,8.032367723778588,36,7.5406815424734654,14,10.388513714073829
22,13,7.717756008873305,26,8.875313638824263,15,8.477357249609101
23,13,9.609514816056011,26,7.701570152410481,13,10.465455675698024
24,8,8.325700139477759,20,12.133199031994819,15,13.09155649884688
25,44,7.675788640263618,13,12.4805000400625,14,12.44564500889769
26,25,6.575803895722561,55,12.100800076854423,17,14.099545759527148
27,16,6.694233759363352,13,13.030508312226349,25,13.628371314559198
28,12,7.834230378601334,44,9.337953971561435,15,9.227812494708592
29,18,8.523233413001195,16,11.2856721942027,12,8.969156785200045
30,29,8.943020235776054,20,10.665050764647114,33,9.259302923276676
31,14,8.942124677614375,24,12.514517694461901,23,8.91194519661673
32,8,9.767772823806869,86,11.622062599319452,20,9.127294831301333
33,20,13.435157935431945,28,11.971035747795593,9,7.987971230231116
34,17,13.369939872246995,17,10.305371323974697,38,10.871657891623522
35,27,11.098471530463103,24,8.883383892132546,22,7.295577641626466
36,18,10.465825785622462,14,10.93608983766593,30,8.116770447659587
37,34,13.382790663292168,13,9.192599180182937,90,6.396920279517324
38,18,9.40132753258815,18,7.8018320164240915,15,8.75550157401048
39,18,9.16424429167512,16,9.445935882034135,15,8.200081078105264
40,15,7.200662838412864,11,9.364262684536353,30,11.006062320943853
41,34,9.313437033394278,12,10.117896891152824,13,11.18032297722208
42,12,7.653846765679334,21,6.9619739478110665,12,8.244319445836629
43,11,8.59961445356709,18,7.9262344267312725,15,11.194929935019692
44,9,9.789959939907822,43,10.682837140713136,18,10.98853713819542
45,15,11.903741336760472,20,9.475773550217417,11,6.671864666268344
46,17,7.542555518522884,15,10.039735585412597,22,8.447314292128594
47,14,9.670676036348235,13,12.213366141240506,15,11.532614688894277
48,17,8.393605825269614,14,14.479784938838009,30,8.42078260540551
49,16,9.755557790946655,24,13.853026575896692,11,8.65257051762654
50,17,7.705796418119284,47,11.578157439225812,18,11.363393735477972
51,16,11.044176703697746,13,13.89821936661312,21,11.284178636480371
52,10,7.975491462129465,32,7.516214659820461,23,8.65090069371392
53,18,9.360125366414705,20,7.062589048111182,20,13.824492135789292
54,21,10.849984591002883,18,9.565981229074204,24,8.170069231652814
55,11,11.424613026816271,25,9.391060659611354,27,7.777580962291553
56,11,11.328520837911716,47,8.109144336796577,19,9.001366042162712
57,19,11.039692236991936,15,8.43031879587006,18,9.759870724681756
58,13,8.948730967992054,41,6.9980146738199975,17,7.6545784910078485
59,11,7.905451244236473,30,10.464000116470755,33,7.432436091215316
60,43,7.925851393541263,23,7.451560344149405,49,7.36505685653546
61,12,8.39402987247484,19,7.929588478445776,15,8.4873726058186
62,15,11.50455371798489,23,10.809616812126135,29,6.289804498154136
63,11,10.248458420660153,45,10.279454782477522,19,8.421746033335369
64,12,8.86259502769928,22,11.022348745843601,8,8.171754038301692
65,22,10.487574269701264,14,9.951892172471524,27,7.218428888961919
66,15,9.1087811341584,9,9.56350215336934,25,10.684997733387688
67,22,8.500406332199654,9,9.891130970470465,14,10.442879227612469
68,15,6.748281031121925,14,7.218175085331471,12,12.996222167422346
69,23,7.6550639897717385,17,7.494259574000623,9,11.810922844447846
70,27,9.358106362266888,19,8.383740681372485,31,10.478711454658917
71,12,11.302815398718144,36,9.017337553984545,13,10.575308875512809
72,10,12.456432387023982,11,11.4214054110035,11,11.500230568340793
73,8,10.90419027828293,19,12.641817264539146,12,9.428708570769382
74,23,8.64126265730304,94,11.684775818880738,65,10.02801365238899
75,14,10.70739121179851,35,12.038645324537143,17,9.68797014988176
76,112,8.063099880784065,15,9.612025589723531,11,9.613490358605453
77,15,8.94700526014152,10,11.28621019762613,21,9.460570476984989
78,13,8.584121879231445,28,9.45689042775161,13,9.004988114234244
79,10,8.39581313066221,17,11.57248683570217,10,6.907545127431308
80,25,9.479943219107382,18,10.091130619881005,8,8.152187589843601
81,44,10.533654992451577,24,11.137999217206833,21,7.376014866613271
82,22,8.369161957747025,9,10.068926131296227,23,10.803630032308586
83,14,8.181209415483751,28,8.89906130934606,18,12.912435503227112
84,14,11.564197510527915,15,9.960151699396953,16,10.067122075101702
85,16,8.061963741855951,41,7.351405796682699,10,9.859901273592957
86,19,9.36576620263927,10,10.317123130383779,9,8.735139434347914
87,12,10.60722535291393,15,14.65956833436783,8,10.110589436328626
88,11,8.945466467015569,22,11.123910410125568,9,11.046768899773362
89,13,10.796660652720359,12,9.627413577254279,12,7.477897954137915
90,12,9.905995580329117,44,9.376674850393396,49,10.898558032487601
