decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,500,1,100,-1,2,20,6,10,10,5,0.01,20210524_112209,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,100,300,1,1,-1,2,20,6,10,10,0,0.0,20210524_140321,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,100,300,1,200,-1,2,20,6,20,10,1,0.0033333333333333335,20210524_144746,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,100,300,1,200,-1,2,2000,6,1000,10,2,0.006666666666666667,20210524_170753,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,100,300,1,200,-1,2,2000,6,1000,100,0,0.0,20210525_040649,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,300,1,200,-1,2,200,16,100,10,2,0.006666666666666667,20210527_140816,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,200,6,100,10,0,0.0,20210607_092050,8,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,30,1,200,-1,2,200,6,100,10,0,0.0,20210612_155409,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,30,1,200,-1,2,200,6,100,10,0,0.0,20210612_160309,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,200,6,100,10,2,0.006666666666666667,20210615_104558,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,200,6,100,10,4,0.013333333333333334,20210615_141301,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,200,6,100,10,5,0.016666666666666666,20210615_171935,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,500,2,250,5,6,0.02,20210716_162946,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,500,2,250,5,2,0.006666666666666667,20210716_194803,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,500,2,250,5,0,0.0,20210716_231916,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,500,2,250,5,2,0.006666666666666667,20210717_025332,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,500,2,250,5,4,0.013333333333333334,20210717_062335,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,1000,2,500,5,1,0.0033333333333333335,20210720_110009,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,1000,2,500,5,0,0.0,20210720_172719,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,300,300,1,200,-1,2,1000,2,500,5,3,0.01,20210721_000108,4,True,False,U
