,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,12,1.0,44,1.0,22,1.0
1,18,1.0,16,1.0,31,1.0
2,53,1.0,15,1.0,11,1.0
3,12,1.0,54,1.0,14,1.0
4,35,1.0,30,1.0,39,1.0
5,17,1.0,47,1.0,15,1.0
6,18,1.0,18,1.0,12,1.0
7,24,1.0,16,1.0,22,1.0
8,14,1.0,14,1.0,16,1.0
9,51,1.0,52,1.0,18,1.0
10,25,1.046900186264192,91,1.0,21,1.0
11,25,1.1027239001672178,15,1.0,15,1.0
12,13,1.0936178491593853,25,1.0,45,1.0039920318408906
13,13,1.0862780491200215,23,1.0,18,1.089954127475097
14,28,1.1081516141756054,12,1.0,52,1.384196517839862
15,16,1.1009087155618307,13,1.0,17,1.6864163187066235
16,14,1.099090533122727,19,1.1189280584559491,27,1.784376641855637
17,14,1.2198360545581526,16,1.5646085772486358,40,1.8514858897652988
18,20,1.7674840876228561,14,1.8242806801586207,60,1.9483326204732085
19,17,1.9677398201998149,12,1.9585709075752147,18,1.9869574731231667
20,20,2.5868900247208035,21,2.039607805437114,21,2.098570942331948
21,14,2.7992856231545935,27,1.9256167843057455,25,1.889973544788392
22,21,3.2409875038327436,19,2.1716353285024628,12,3.0639843341636066
23,20,4.267551991481768,18,3.0698534166959828,74,3.86367700513384
24,11,3.8858718455450894,25,3.5025704846583747,21,2.9434673431176366
25,46,4.118737670694748,32,3.943602414037196,12,3.6022215367742167
26,15,3.7746523018683455,43,4.373556904854446,15,4.32157378740662
27,31,3.6408790147435552,11,4.611290491825471,15,3.8366652186501757
28,14,6.495536929307692,18,5.213827768540115,30,3.891015291668744
29,30,9.677396344058664,12,5.559136623613418,15,5.5266626457564785
30,42,9.874411374861795,14,5.549414383518319,15,4.918536367660607
31,17,10.082261651038422,17,6.675926901936539,12,4.638103060519462
32,27,11.259129628883398,41,5.379591062525106,11,4.409081537009721
33,25,11.158494522111843,14,5.197691795403032,12,5.09431055197855
34,26,12.69614114603331,37,5.903897018072047,10,6.4525963766533545
35,83,12.473171208638163,18,5.935654976495854,27,6.405310296933319
36,30,7.382682439330572,15,4.769066994706616,17,6.329296959378664
37,22,9.416793509470196,47,4.460493246267727,20,5.2222600471443394
38,23,7.443655016186605,26,5.104899607240087,11,5.424758059121163
39,29,11.268362791461765,10,6.6416865328017405,13,6.077170394188401
40,13,14.322429961427636,24,5.03626845988178,12,8.357032966310472
41,9,14.251035050128815,20,4.688283267892417,10,10.622240818207803
42,30,15.253458624194055,13,6.1494715220090255,62,10.5364130518882
43,24,17.922946186383534,76,6.061352984276695,13,9.795100816224405
44,11,19.836431130624277,12,6.914911423872327,24,7.723211767134189
45,16,14.97691557030352,17,9.939617698885607,21,7.9666806136558534
46,39,16.804047131569227,15,7.958643100428615,34,5.184206785999185
47,17,13.563480379312677,13,7.3086250416887575,23,4.5899891067408864
48,10,12.24744871391589,37,11.202856778518594,17,4.874833330484233
49,16,12.7216351150314,15,8.25251476823883,12,6.073878497303021
50,16,12.288042968674874,14,8.83696780575781,14,5.918107805709524
51,13,8.7970449583937,16,7.719326395482963,25,6.330244860982868
52,26,9.2212797376503,28,7.193330244052472,36,7.0543603537103206
53,10,7.100422522639057,16,6.3349822414905,20,6.095900261651268
54,12,7.7001298690346776,12,6.297618597533515,19,6.5936332928060235
55,44,9.680702453851167,38,7.85315223333917,26,5.673446924048907
56,58,7.247068372797376,46,7.7149206087943645,11,7.785370896752447
57,11,6.616041112326918,15,6.278853398511547,26,9.307846152574719
58,21,7.441505224079332,31,6.846897107449476,41,8.265107379822721
59,9,8.686311069723441,29,7.537373547861351,17,6.5366658167601015
60,8,8.48999411071645,10,5.680845007567096,16,6.521042861383446
61,27,6.401249877953523,33,8.336905900872338,28,6.207092717206663
62,42,8.958571314668427,13,8.284443252265055,18,7.185541037388903
63,11,9.659399567260897,16,7.861297602813418,11,6.868769904429759
64,26,8.388325220209335,26,9.911407569058998,38,5.906945064921461
65,31,8.17997555008571,14,7.753966726779268,18,5.722936309273414
66,10,8.811810256695273,28,6.569931506492286,14,6.7846886442931185
67,15,9.318368955992245,15,6.5534723620383115,18,6.219324722186485
68,27,12.173249360791061,16,6.085392345609279,20,6.080789422435215
69,26,9.258077554222583,27,6.289038082250735,47,7.4793047805260615
70,14,8.852570248238644,13,5.320526289757433,30,6.735577183879641
71,16,11.323073787624983,14,5.154415582779487,15,6.882150826594837
72,19,14.14991166050163,27,6.942621983083913,18,7.410802925459562
73,27,12.446364931175689,14,6.020631196145467,14,9.357563785515971
74,25,11.981485717556067,15,9.359487165438072,21,7.738216848861241
75,23,8.382839614355031,13,8.26776874374217,15,7.288072447499407
76,9,8.808859176987676,14,8.42709914502019,26,7.281483365359012
77,18,12.477018874715226,12,8.183153426399874,12,5.849444418062283
78,20,9.660020703911561,15,9.20565043872512,13,9.009550488231918
79,21,10.554998815727076,17,9.786930060034148,13,8.349371233811562
80,11,12.989072330232055,9,8.81407964565785,15,8.109500601146781
81,16,14.940281121853095,26,7.647483246140523,17,7.982480817390043
82,11,11.129959568659718,40,7.944054380478522,17,8.021471186758697
83,29,11.367145639957288,22,8.339304527357182,22,6.424017434596516
84,19,10.87087852935539,108,8.560607455081678,11,8.621600779437657
85,46,10.595659488677427,24,7.300958841138608,13,7.491328320131217
86,43,11.203035302988203,18,8.275747700359165,14,7.745966692414834
87,12,12.708737152054093,12,6.4392546152485695,20,6.685207551003932
88,36,11.813890129842923,17,7.578654234097239,42,6.784393856491529
89,9,12.020815280171307,21,6.810286337592569,16,7.805638987296299
90,12,12.842273941946575,10,7.596578177047874,25,6.981403870282825
91,23,13.98527797364071,10,6.734983296193095,26,7.056628089959113
92,10,12.792966817747946,11,7.196110060303414,17,8.529712773593259
93,11,10.587539846442137,40,7.770714252885638,9,7.855698568555186
94,15,10.345047124107266,10,7.71621668954417,13,6.582096930310279
95,15,10.320658893694723,13,7.434514106516982,41,6.269928229254303
96,31,10.44758345264588,16,6.2183599123884745,44,7.114773362518303
97,52,8.25663369661026,9,6.58027355054484,13,7.447684203831416
98,21,6.111628260946505,18,7.648790754099631,14,8.138304491723076
99,25,7.058328414008518,13,8.95254153857998,13,8.516337240856542
100,10,7.34384095688353,16,6.461269225160023,40,7.939269487805537
101,21,6.417787780847853,12,5.417010245513664,61,6.355470084895373
102,10,8.107774047172258,14,5.519057890618652,13,5.76853534270182
103,40,8.51069914871863,25,9.13192203208065,32,6.549503797998746
104,10,7.1974995658214524,17,7.600263153338837,24,6.657627204943214
105,29,7.686091334351941,12,8.974185199782763,15,6.240512799442046
106,9,6.8302269362005825,11,6.63294806251338,9,6.843390972317744
107,11,8.129944649258075,24,6.4556951600892685,11,7.515849918671873
108,111,12.388543094327114,11,8.437061099695795,34,7.3964856519836495
109,11,12.667912219462211,17,7.400270265334909,9,6.48505975300151
110,45,9.675536160854342,12,9.01443287178955,13,8.925917319805286
111,12,8.647311720991674,9,10.4447115805081,11,7.0543603537103206
112,9,7.742609379272598,14,9.227784132715719,9,5.89474342104896
113,11,8.774508533245609,17,11.030684475588993,18,5.494724742878391
114,11,9.048314760219165,8,11.54382952057072,12,7.473954776421918
115,9,3.8522720568516444,36,11.822182539615941,10,6.775544258581742
116,50,4.73750989444877,14,10.962481470907944,74,6.743292964123685
117,84,5.697367813297646,14,8.472307831990053,24,8.219732355740057
118,34,7.040738597618861,9,9.99799979995999,13,9.214987791635972
119,12,10.175657226931339,23,9.53540769972632,11,9.006664199358163
120,48,9.02862115718674,9,8.76013698523031,8,9.421040282261826
121,12,8.914258241715908,40,8.428285709442935,13,11.384726610683279
122,10,9.503893938802136,14,9.616652224137047,18,10.447774882720244
123,26,7.308351387282907,9,7.916312272769436,26,6.540642170307133
124,10,8.278647232489135,11,7.602104971650944,12,8.580442879012715
125,18,8.319374976523177,20,8.229945321811075,11,7.320382503667414
126,42,7.335120994230429,13,8.026207074328447,10,6.021295541658788
127,12,6.517361429290231,12,8.351526806518674,31,7.493997598078078
128,11,6.845728595262888,10,9.236449534317826,13,9.16078599247903
129,17,7.719844558020582,13,9.775684119282905,10,8.933980076091506
130,9,6.035229904485827,9,8.505762752393228,12,10.821275340735028
131,20,6.463745044476925,16,8.960580338348628,13,8.175573374387879
132,9,5.871626691130832,11,6.84514426436726,27,8.80954028312488
133,25,7.165472768771088,63,6.363646753238272,113,8.4
134,10,5.461135413080324,10,8.610458756651704,86,6.194836559587347
135,12,7.3304842950517255,117,7.935993951610598,27,6.120457499239742
136,32,7.650359468678579,12,8.413085046521282,11,6.59787844689488
137,27,10.08265837961398,17,11.03757219681937,10,7.655063683601855
138,11,8.043382373106478,9,10.593016567531649,9,6.766387514767389
139,9,10.088607436113271,27,9.86833319259134,9,6.127642287209658
140,26,9.49378744232248,11,8.912687585683681,17,4.807078114613907
141,45,7.171889569701976,10,8.837646745599192,53,6.832276341015489
142,32,7.087735886727157,11,8.610691029179947,13,6.395310782127793
143,10,8.660715905743588,21,8.489522954795516,8,5.7775427302617155
144,9,10.84011070054176,9,6.987131027825369,16,5.487804661246608
145,9,9.996799487836094,10,10.230542507609261,21,4.991192242340501
146,33,9.67987603226405,9,8.18828431357876,89,5.003598704932281
147,132,9.715760392269871,48,9.350721897265473,30,5.183049295540223
148,124,7.7397674383666075,20,8.411420807449833,11,6.018305409332431
149,18,9.342804718070479,11,8.078366171448284,94,7.2765376381902955
150,9,9.124253394113953,10,7.835049457406124,12,7.795383249077624
151,9,10.171725517334805,107,8.292164976651152,26,6.663332499583072
152,56,12.740172683288089,13,8.35224520712844,11,5.928912210515517
153,12,11.056943519797866,26,8.830628516702534,26,6.474565622495458
154,9,11.288401126820396,10,8.506233008800075,28,6.693579012755434
155,8,9.99599919967984,9,10.837342847764852,9,5.951134345652096
156,10,9.898888826529976,22,6.694475334184151,40,6.357043337904815
157,10,11.849556953743038,11,8.200487790369547,9,7.6845299140546
158,10,15.278743403827423,18,7.221634164093333,12,6.014316253739905
159,10,12.641835309795805,27,6.754257916307313,10,7.455736046829984
160,11,12.680851706411522,117,6.326136261573884,23,9.265203721451568
161,9,13.072719686430975,9,5.595712644516335,11,8.423301015635142
162,11,11.612579386165677,9,6.734092366458897,11,7.9571351628585525
163,9,12.24744871391589,135,5.676618711874173,11,6.62148019705564
164,28,11.86574902819034,9,6.309358129001713,95,6.712972515957443
165,9,9.035485598461214,22,7.8434686204510315,200,6.593329962924653
166,11,8.86273095608797,8,7.418086006511383,119,6.1400325732035
167,14,7.865621399482688,9,7.164914514493526,13,7.517180322434736
168,95,7.137506567422548,198,6.204514485437197,9,6.16765757804371
169,12,10.380751417888785,10,6.04284701113639,9,6.539418934431407
170,21,7.704803696396164,61,4.909582466972115,54,5.554457669295896
171,15,6.895795820643183,136,5.8828564490390205,10,5.609634569203238
172,9,6.642589856373792,15,7.026236545975378,9,5.55841704084895
173,25,6.715653356152326,8,7.7624738324840745,8,5.0667543852055825
174,200,9.188035698668132,22,6.463435618925898,89,5.775811631277461
175,110,6.511835378754595,9,5.997666212786437,8,5.745258914966322
176,54,5.76333236938492,9,7.078417902328175,9,5.297546601965857
177,46,5.712092436226851,10,5.506723163551987,129,5.7330620090838025
178,16,4.969909455915671,11,6.556218422230913,147,5.08999017680781
