,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,31,1.0,16,1.0,30,1.0,74,1.0,14,1.0
1,14,1.0,16,1.0,25,1.0,9,1.0,46,1.0
2,32,1.0,17,1.0,31,1.0,15,1.0,18,1.0
3,17,1.0,19,1.0,14,1.0,22,1.0,27,1.0
4,8,1.0,19,1.0,39,1.0,19,1.0,52,1.0
5,24,1.0,20,1.0,25,1.0,13,1.0,10,1.0
6,27,1.0,14,1.0,18,1.0,8,1.0,19,1.0
7,16,1.0,9,1.0,20,1.0,13,1.0,48,1.0
8,13,1.0,12,1.0,18,1.0,28,1.0,15,1.0
9,23,1.0,17,1.0,36,1.0,13,1.0,30,1.0
10,17,1.0,13,1.0,43,1.0,12,1.0,13,1.0
11,55,1.0,26,1.0,24,1.0,14,1.0,16,1.0
12,9,1.0,17,1.0,13,1.0,24,1.0,15,1.0
13,14,1.0,30,1.0,11,1.0,29,1.0,23,1.0
14,35,1.0,17,1.0,29,1.0,9,1.0,20,1.0
15,14,1.0,12,1.0,9,1.0,40,1.0,9,1.0
16,12,1.0,12,1.0,22,1.0,21,1.0,30,1.0
17,12,1.0,32,1.0,12,1.0,15,1.0,12,1.0
18,10,1.0,13,1.0,14,1.0,20,1.0,15,1.0
19,32,1.0,13,1.0,13,1.0,36,1.0,16,1.0
20,10,1.0,25,1.0,20,1.0,9,1.0,14,1.0
21,18,1.0,14,1.0,14,1.0,12,1.0,38,1.0
22,13,1.0,12,1.0,10,1.0,12,1.0,16,1.0
23,29,1.0,42,1.0,11,1.0,29,1.0,15,1.0
24,16,1.0,12,1.0,17,1.0,10,1.0,36,1.0
25,21,1.0,12,1.0,21,1.0,22,1.0,28,1.0
26,18,1.0,30,1.0,36,1.0,21,1.0,14,1.0
27,14,1.0,16,1.0,10,1.0,23,1.0,20,1.0
28,16,1.0,14,1.0,13,1.0,28,1.0,12,1.0
