decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_105724,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_110845,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_112131,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_113607,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_115514,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5,1,0.0033333333333333335,20211120_102422,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_213922,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_221944,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_230301,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,2000,2,1000,5000,0,0.0,20211121_102249,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,2000,2,1000,5000,0,0.0,20211122_103821,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,2000,2,1000,5000,0,0.0,20211122_184749,4,True,False,U
