,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,11,0.0,55,0.0,28,0.0,12,0.0,18,0.0
1,12,0.0,10,0.0,10,0.0,15,0.0,14,0.0
2,11,0.0,25,0.0,44,0.0,18,0.0,11,0.0
3,12,0.0,13,0.0,34,0.0,10,0.0,18,0.0
4,9,0.0,14,0.0,15,0.0,19,0.0,41,0.0
5,9,0.0,12,0.0,22,0.0,16,0.0,57,0.0
6,11,0.0,24,0.0,17,0.0,16,0.0,30,0.0
7,17,0.0,18,0.0,14,0.0,18,0.0,17,0.0
8,14,0.0,31,0.0,54,0.0,30,0.0,29,0.0
9,16,0.0,19,0.0,16,0.0,15,0.0,14,0.0
10,16,0.0,9,0.0,10,0.0,17,0.0,17,0.0
11,10,0.0,23,0.0,11,0.0,31,0.0,12,0.0
12,25,0.0,25,0.0,20,0.0,12,0.0,13,0.0
13,15,0.0,25,1.0,27,1.0,13,0.0,13,1.0
14,31,0.0,17,1.0,9,1.0,14,0.0,15,1.0
15,24,0.0,33,1.0,37,1.0,19,0.0,11,1.0
16,11,0.0,14,1.0,11,1.0,20,0.0,12,1.0
17,11,0.0,24,1.0,21,1.0,51,1.0,38,1.0
18,15,0.0,34,1.0,23,1.0,15,1.0,23,1.0
19,20,1.0,16,1.0,19,1.0,13,1.0,16,1.0
20,32,1.0,18,1.0,10,1.0,38,1.0,25,1.0
21,40,1.0,15,1.0,15,1.0,23,1.0,23,1.0
22,14,1.0,61,1.0,15,1.0,10,1.0,23,1.0
23,31,1.0,14,1.0,12,1.0,19,1.0,11,1.0
24,27,1.0,24,1.0,26,1.0,15,1.0,17,1.0
25,18,1.0,27,1.0214368964029708,10,1.0,23,1.0,17,1.0
26,60,1.0708252269472673,10,1.2110601416389966,14,1.0016652800877812,20,1.0,17,1.0376254944182253
27,27,1.0754843869934452,16,1.531883372410141,13,1.121011448053349,11,1.0,23,1.118033988749895
28,50,1.0630145812734648,17,1.6093476939431082,22,1.2476644848141933,11,1.0,17,1.3576941236277533
29,14,1.0503967504392486,9,1.8681541692269406,12,1.2622730819174326,12,1.0099504938362078,23,1.3391539617733776
30,32,1.0939226054281292,31,2.2985502677412417,14,1.2922847983320085,18,1.02469507659596,14,1.4
31,17,1.2935738607954836,20,1.9407902170679516,29,1.5663120165960973,24,1.1075498483890767,12,1.451436070471816
32,20,1.3674794331177345,16,2.065591117977289,11,1.9122412679017955,45,1.0708252269472673,20,1.6643316977093239
33,21,1.3,50,2.177154105707724,14,1.816590212458495,12,1.1690451944500122,16,2.057506581601462
34,13,1.3102162671355697,16,2.078460969082653,21,1.77857620959388,12,1.4753530650887152,15,2.2353224972398653
35,10,1.4708274315273473,13,2.188606862823929,13,1.9174636024359542,34,1.47648230602334,16,2.3607908279501033
36,22,1.78232058470598,12,3.1501322723551364,29,2.155612828563299,26,1.5864005379054391,14,2.4406283343980637
37,43,1.9017535767461216,15,3.2649655434629015,24,2.3007245235649862,14,1.5663120165960973,29,2.479919353527449
38,37,1.9849433241279208,14,3.3541019662496847,18,2.692582403567252,18,1.6155494421403511,15,2.5664502073226876
39,14,2.4576411454889016,15,3.1230327140991228,55,3.0304015135511886,61,1.9261360284258222,37,2.0124611797498106
40,51,2.3086792761230392,17,3.410278580995987,11,3.004995840263344,17,1.8903262505010434,15,2.460352278299458
41,23,2.452209887699936,14,3.361051422794163,19,2.9518355871107276,13,1.8867962264113207,11,2.5152865973217975
42,24,2.4684678108764824,18,3.803945320322047,14,2.9676028485406647,36,2.0223748416156684,21,2.4131583730317687
43,18,2.3259406699226015,22,4.61483116339771,13,2.8687976575562106,19,2.1166010488516727,32,2.598076211353316
44,35,2.422120283277993,17,3.6487440761628283,49,2.3930454794396754,26,2.0623611064344027,8,2.66020049369717
45,15,2.4953289696283867,29,2.9359836511806394,18,2.809507667427397,35,2.6223399220289245,13,3.3630343441600474
46,40,2.713546265191241,20,4.004580710469782,25,3.0276503540974917,15,2.5619003363388932,16,3.4621765793596757
47,10,2.704933763822446,17,3.444318994131254,24,3.146956201368766,29,2.2561028345356955,15,3.7407664098862594
48,17,2.9427877939124323,14,3.65604522218567,18,2.8676354952004157,15,3.129430193075623,29,3.3075670817082456
49,18,2.932007276025533,16,3.5421274210093947,22,2.5993588953175872,13,3.148544637341725,13,2.3664319132398464
50,18,3.3590673308722665,50,3.8738439135652674,14,3.1501322723551364,25,2.6127890589687235,30,2.7832834326864138
51,18,3.687817782917155,14,3.9200340134578764,14,3.547769252173352,33,3.271085446759225,18,2.7073972741361767
52,14,3.9753406562624707,22,3.8974350539810154,43,5.004331457181202,22,3.41418609139377,48,3.0767948691238205
53,27,3.352113760997181,24,3.3970575502926055,59,3.3813212407775355,15,3.0702877172451877,34,2.888482877451991
54,23,3.212475680841802,40,3.7278233148402657,9,3.597684440488539,10,2.804757862395017,68,2.6482698754721605
55,18,2.9938826518975876,17,3.57118094379623,12,4.324349662087931,15,2.5703436864876,13,2.567099530598687
56,63,3.435597958628648,14,4.805899152777414,24,4.2735621363604075,19,3.0967725134404045,14,2.471841418861655
57,11,4.884669896727925,16,4.94064773081425,15,3.8087618285561864,14,3.5454195802471675,16,2.7434771124736335
58,11,3.9841352052024206,17,5.932115979985556,18,3.4885527085024814,24,3.416626016018337,23,2.471841418861655
59,21,3.2878564445547194,30,5.3472734485280755,33,3.7775653535048206,11,3.2939338184001206,37,2.705549851693737
60,17,3.5949038002891447,55,3.7727090178455764,48,4.2731721238443,18,3.1937438845342623,10,3.3361654635224554
61,18,3.312099032335839,24,3.146956201368766,25,4.022437072223753,25,3.68284310463171,11,3.047950130825634
62,11,3.383784863137726,21,3.687817782917155,55,3.4215006454283574,22,3.616628264005025,18,3.5538711287833724
63,20,2.7562051205718827,41,3.4693899559816948,51,3.720663023351259,43,4.1844951905815355,42,3.7478882943154357
64,19,2.7694764848252458,14,3.876424469361768,17,3.7072002014098637,12,3.441414437892265,53,4.019535628237007
65,17,2.842534080710379,40,4.46616912651846,12,4.219399641339196,19,3.7793297465732376,47,4.182104733265296
66,14,3.156474826976026,11,5.872251129961434,23,4.338202392696772,16,3.68284310463171,43,3.981624459103763
67,10,2.874021572639983,17,5.884725991921799,40,5.0391798274454676,20,4.196427051671457,10,4.1649329726499404
68,24,2.8225284173355396,24,4.674041791283714,26,5.820366540576861,47,3.7643060449437424,32,4.165733228776578
69,13,3.102687007525359,15,4.409837487557412,16,4.258325179379017,12,3.6013886210738213,17,3.8613469152615645
70,27,3.7727090178455764,25,3.8488093396962824,16,4.1400483088968905,27,3.703151810732762,14,4.489617652614381
71,13,3.4938040395343677,18,3.9488394919689167,13,4.059967159144682,12,3.304037933599835,19,3.954322529418493
