,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,27,0.0,16,0.0,31,0.0
1,22,0.0,15,0.0,16,0.0
2,11,0.0,30,0.0,13,0.0
3,24,0.0,41,0.0,19,0.0
4,9,0.0,14,0.0,17,0.0
5,19,0.0,11,0.0,39,0.0
6,26,0.0,17,0.0,14,0.0
7,11,0.0,31,0.0,17,0.0
8,25,0.0,23,0.0,12,0.0
9,20,0.0,28,0.0,21,0.0
10,22,0.0,19,0.0,22,0.0
11,43,0.0,24,0.0,16,0.0
12,15,0.0,52,1.0,11,0.0
13,28,1.0,23,1.0,42,0.0
14,12,1.0,21,1.0,11,1.0
15,45,1.0,12,1.0,14,1.0
16,17,1.0,31,1.0,36,1.0
17,27,1.0,15,1.0,14,1.0
18,17,1.0,40,1.0,43,1.0
19,38,1.0,19,1.0,23,1.0
20,19,1.0,15,1.0,27,1.0
21,26,1.0,39,1.0,15,1.0
22,19,1.0,22,1.0,11,1.0
23,23,1.0,20,1.0,18,1.0
24,45,1.0,14,1.0,13,1.0
25,33,1.0,22,1.0,10,1.0
26,12,1.0,19,1.0,30,1.0
27,9,1.0,11,1.0,44,1.0
28,28,1.0,18,1.0,13,1.0
29,12,1.0,15,1.0,20,1.0
30,19,1.0,28,1.0,19,1.0
31,39,1.0,13,1.0,40,1.0
32,39,1.0,10,1.0,17,1.0
33,13,1.0,12,1.0,18,1.0
34,11,1.0,16,1.0,17,1.0
35,12,1.0,19,1.0,26,1.0
36,18,1.0,11,1.0,17,1.0
37,17,1.0,79,1.0,17,1.0
38,17,1.0,19,1.0,36,1.0
39,20,1.0,25,1.0,10,1.0
40,34,1.0,18,1.0,13,1.0
41,21,1.0,26,1.0,17,1.0
42,13,1.0,24,1.0,44,1.0
43,35,1.0,20,1.0,19,1.0
44,14,1.0,11,1.0,26,1.0
45,11,1.0,16,1.0,26,1.0
46,12,1.0,9,1.0,18,1.0
47,21,1.0,11,1.0,17,1.0
48,28,1.0,15,1.0,10,1.0
49,32,1.0,15,1.0,14,1.0
50,14,1.0,12,1.0,12,1.0
51,25,1.0,43,1.0,18,1.0
52,36,1.0,39,1.0,14,1.0
53,11,1.0,19,1.0,37,1.0
54,11,1.0,18,1.0,12,1.0
55,16,1.0,25,1.0,13,1.0
56,17,1.0,11,1.0,19,1.0
57,15,1.0,11,1.0,30,1.0
58,19,1.0,27,1.0,20,1.0
59,25,1.0,40,1.0,13,1.0
60,22,1.0,15,1.0,31,1.0
61,10,1.0,33,1.0,9,1.0
62,13,1.0,14,1.0,13,1.0
63,12,1.0,26,1.0,14,1.0
64,33,1.0,10,1.0,29,1.0
65,11,1.0,16,1.0,20,1.0
66,14,1.0,23,1.0,20,1.0
67,10,1.0,13,1.0,21,1.0
68,18,1.0,14,1.0,28,1.0
