decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,300,1,100,-1,2,20,6,10,10,0,0.0,20210607_141944,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,1000,300,1,100,-1,2,20,6,10,10,0,0.0,20210608_104944,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,100,-1,2,20,6,10,10,1,0.0033333333333333335,20210608_142434,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,10,10,10,0,0.0,20210608_154441,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,10,10,10,0,0.0,20210608_163419,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,10,10,10,0,0.0,20210608_171349,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,10,10,10,0,0.0,20210612_132507,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,2,10,10,0,0.0,20210612_141605,4,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,20,2,10,10,0,0.0,20210615_201844,8,True,False,L
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,10,2,5,10,0,0.0,20210616_112420,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,16,2,8,10,1,0.0033333333333333335,20210616_131336,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,16,2,16,10,0,0.0,20210616_135616,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,16,2,16,10,2,0.006666666666666667,20210616_144217,8,True,False,U
EDF,0.01,1,0.99,0,0,0,1,100000,200,300,1,200,-1,2,16,2,16,10,0,0.0,20210616_162609,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,2,32,10,1,0.0033333333333333335,20210616_171109,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210618_095721,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,2,32,10,1,0.0033333333333333335,20210618_111158,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,10,32,10,0,0.0,20210618_130416,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,1,32,10,0,0.0,20210618_152137,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,4,32,10,0,0.0,20210618_200452,8,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210618_212211,8,True,False,U
EDF,0.01,0.01,0.99,0,0,0,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210619_121529,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210619_130832,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210619_150529,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210619_182356,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210620_112502,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,2,32,10,0,0.0,20210620_154207,8,True,False,U
SEDF,0,0,0,0.4,0.1,0.4,1,100000,200,300,1,200,-1,2,32,1,32,10,0,0.0,20210620_174107,8,True,False,U
