decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_105142,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_105931,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_110743,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_111557,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,0.99,10000,300,300,1,200,-1,2,16,2,8,5,0,0.0,20211119_112430,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5,0,0.0,20211120_102418,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5,13,0.043333333333333335,20211120_132709,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5,2,0.006666666666666667,20211120_163851,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_213919,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_222104,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,160,2,80,5000,0,0.0,20211120_230257,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,300,300,1,200,-1,2,2000,2,1000,5000,0,0.0,20211121_102249,4,True,False,U
