,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729,score_4027,td_err_4027,score_10069,td_err_10069
0,14,0.0,22,0.0,22,0.0,20,0.0,16,0.0
1,27,0.0,18,0.0,19,0.0,23,0.0,15,0.0
2,10,0.0,21,0.0,13,0.0,20,0.0,13,0.0
3,15,0.0,29,0.0,25,0.0,15,0.0,17,0.0
4,9,0.0,12,0.0,19,0.0,15,0.0,46,0.0
5,16,0.0,15,0.0,30,0.0,25,0.0,17,0.0
6,15,0.0,14,0.0,66,0.0,62,0.0,38,0.0
7,22,0.0,18,0.0,21,0.0,13,0.0,19,0.0
8,23,0.0,21,0.0,16,0.0,10,0.0,34,0.0
9,23,0.0,21,0.0,17,0.0,34,0.0,21,0.0
10,12,0.0,38,0.0,48,0.0,16,0.0,16,0.0
11,15,0.0,17,0.0,19,1.0092076099594174,29,0.0,10,0.0
12,24,0.0,50,0.0,28,1.0092736662240491,10,0.0,16,0.0
13,26,0.0,16,1.009141549370883,22,1.009273666224049,54,1.009141549370883,13,0.0
14,25,0.0,53,1.009141549370883,21,1.009141549370883,13,1.0093397181656267,12,1.0090754844575966
15,27,1.0089433416533689,18,1.009141549370883,13,1.0092736662240491,38,1.0094057657849989,13,1.0089433416533689
16,10,1.0088772637607277,18,1.0092076099594176,17,1.0093397181656267,28,1.009141549370883,25,1.0090754844575966
17,30,1.008877263760728,31,1.0092076099594174,21,1.0094057657849989,23,1.0092076099594174,32,1.0089433416533689
18,30,1.0090094152187083,22,1.0089433416533689,24,1.008877263760728,14,1.0092736662240491,29,1.0090754844575966
19,11,1.0090094152187083,19,1.0089433416533689,40,1.0094057657849989,25,1.0090094152187083,41,1.009141549370883
20,21,1.008877263760728,36,1.0092736662240491,11,1.0090094152187083,14,1.0092076099594174,12,1.0093397181656267
21,30,1.0089433416533689,44,1.0092076099594174,29,1.0092076099594174,18,1.0088772637607277,36,1.009141549370883
22,14,1.0090754844575966,16,1.0090754844575966,25,1.0096038827183658,14,1.0093397181656267,25,1.009141549370883
23,16,1.0090094152187083,14,1.0090754844575966,33,1.0092076099594174,51,1.0092076099594174,26,1.0088772637607277
24,13,1.0089433416533689,34,1.0088772637607277,29,1.0090754844575966,23,1.009141549370883,23,1.008811181539935
25,17,1.009141549370883,45,1.0092736662240491,28,1.009141549370883,30,1.0090094152187083,28,1.0095378480605206
26,14,1.009273666224049,23,1.009141549370883,19,1.0092736662240491,42,1.009141549370883,13,1.0090754844575966
27,25,1.0090094152187083,24,1.009141549370883,53,1.0092736662240491,11,1.0095378480605206,21,1.009141549370883
28,17,1.0090754844575966,23,1.0090754844575964,15,1.0094057657849989,14,1.0093397181656267,15,1.008612908900139
29,15,1.0088772637607277,43,1.0090754844575966,23,1.0094718090830141,12,1.008877263760728,16,1.0090094152187083
30,18,1.0088772637607277,21,1.009141549370883,22,1.0095378480605204,11,1.0089433416533689,25,1.0092076099594176
31,23,1.009141549370883,28,1.0090754844575966,16,1.0092736662240491,24,1.0090094152187083,11,1.0090094152187083
32,11,1.008877263760728,12,1.0092736662240491,19,1.0092736662240491,17,1.0092076099594174,51,1.0090094152187083
33,31,1.00874509499014,18,1.0093397181656267,14,1.0090094152187083,30,1.0093397181656267,32,1.009141549370883
34,18,1.009141549370883,24,1.009141549370883,9,1.0090094152187083,29,1.0092076099594174,14,1.0088772637607277
35,31,1.0085468093582304,16,1.009141549370883,18,1.0094057657849989,38,1.0093397181656267,20,1.009141549370883
36,30,1.0094057657849989,16,1.0089433416533689,13,1.0092076099594174,17,1.009141549370883,25,1.0090754844575966
37,23,1.00874509499014,12,1.0094057657849989,14,1.0089433416533689,26,1.0090094152187083,30,1.0094057657849989
