,score_2,td_err_2,score_131,td_err_131,score_1729,td_err_1729
0,13,0.0,41,0.0,36,0.0
1,20,0.0,30,0.0,19,0.0
2,10,0.0,27,0.0,13,0.0
3,9,0.0,16,0.0,29,0.0
4,16,0.0,13,0.0,26,0.0
5,12,0.0,18,0.0,73,0.0
6,14,0.0,23,0.0,21,0.0
7,13,0.0,21,0.0,18,0.0
8,12,0.0,15,0.0,16,0.0
9,28,0.0,27,0.0,13,0.0
10,26,0.0,29,0.0,11,0.0
11,15,0.0,21,0.0,21,0.0
12,30,0.0,25,1.0,23,1.0
13,12,0.0,15,1.0,22,1.0
14,21,0.0,14,1.0,42,1.0
15,25,0.0,13,1.0,49,1.0
16,24,1.0,55,1.0,18,1.0
17,21,1.0,15,1.0,30,1.0
18,23,1.0,18,1.0,34,1.0
19,21,1.0,11,1.0,30,1.0
20,20,1.0,37,1.0,16,1.0
21,21,1.0,15,1.0,17,1.0
22,29,1.0,18,1.0,24,1.0
23,43,1.0,14,1.0,23,1.0
24,12,1.0,22,1.0,14,1.0
25,17,1.0,32,1.0,24,1.0
26,10,1.0,17,1.0,30,1.0
27,13,1.0,12,1.0,23,1.0
28,10,1.0,14,1.0,11,1.0
29,22,1.0,24,1.0,24,1.0
30,18,1.0,10,1.0,24,1.0
31,50,1.0,14,1.0,21,1.0
32,28,1.0,13,1.0,13,1.0
33,10,1.0,19,1.0,33,1.0
34,22,1.0,22,1.0,13,1.0
35,11,1.0,14,1.0,15,1.0
36,18,1.0,10,1.0,11,1.0
37,11,1.0,12,1.0,33,1.0
38,19,1.0,14,1.0,34,1.0
39,17,1.0,14,1.0,11,1.0
40,14,1.0,42,1.0,14,1.0
41,17,1.0,23,1.0,49,1.0
42,28,1.0,34,1.0,19,1.0
43,47,1.0,11,1.0,24,1.0
44,14,1.0,12,1.0,17,1.0
45,13,1.0,16,1.0,27,1.0
46,64,1.0,12,1.0,17,1.0
47,36,1.0,14,1.0,12,1.0
48,9,1.0,49,1.0,16,1.0
49,21,1.0,19,1.0,16,1.0
50,50,1.0,31,1.0,19,1.0
51,24,1.0,14,1.0,21,1.0
52,38,1.0,13,1.0,32,1.0
53,14,1.0,14,1.0,21,1.0
54,15,1.0,11,1.0,16,1.0
55,21,1.0,30,1.0,23,1.0
56,14,1.0,18,1.0,34,1.0
57,8,1.0,20,1.0,21,1.0
58,29,1.0,9,1.0,33,1.0
59,15,1.0,18,1.0,16,1.0
60,14,1.0,9,1.0,28,1.0
61,15,1.0,33,1.0,9,1.0
62,15,1.0,30,1.0,10,1.0
63,20,1.0,22,1.0,9,1.0
64,14,1.0,13,1.0,20,1.0
65,10,1.0,19,1.0,13,1.0
66,13,1.0,25,1.0,27,1.0
67,38,1.0,13,1.0,24,1.0
68,20,1.0,12,1.0,11,1.0
69,20,1.0,23,1.0,20,1.0
70,19,1.0,11,1.0,13,1.0
71,20,1.0,11,1.0,16,1.0
72,13,1.0,13,1.0,14,1.0
73,15,1.0,27,1.0,15,1.0
74,21,1.0,13,1.0,33,1.0
75,20,1.0,13,1.0,12,1.0
76,13,1.0,14,1.0,16,1.0
77,18,1.0,17,1.0,9,1.0
78,12,1.0,10,1.0,11,1.0
79,13,1.0,14,1.0,9,1.0
80,10,1.0,13,1.0,24,1.0
81,11,1.0,15,1.0,16,1.0
82,16,1.0,12,1.0,16,1.0
83,12,1.0,16,1.0,8,1.0
84,12,1.0,10,1.0,13,1.0
85,11,1.0,19,1.0,21,1.0
86,14,1.0,31,1.0,14,1.0
87,9,1.0,8,1.0,12,1.0
88,13,1.0,11,1.0,14,1.0
89,13,1.0,32,1.0,20,1.0
90,14,1.0,13,1.0,10,1.0
91,10,1.0,28,1.0,11,1.0
92,22,1.0,13,1.0,10,1.0
93,9,1.0,11,1.0,13,1.0
94,10,1.0,12,1.0,11,1.0
95,14,1.0,12,1.0,11,1.0
96,10,1.0,14,1.0,9,1.0
97,13,1.0,11,1.0,10,1.0
98,13,1.0,14,1.0,12,1.0
99,13,1.0,12,1.0,13,1.0
100,15,1.0,12,1.0,22,1.0
101,14,1.0,10,1.0,15,1.0
102,14,1.0,10,1.0,18,1.0
103,10,1.0,10,1.0,18,1.0
104,10,1.0,10,1.0,11,1.0
105,14,1.0,36,1.0,13,1.0
106,11,1.0,10,1.0,16,1.0
107,12,1.0,11,1.0,12,1.0
108,10,1.0,13,1.0,12,1.0
109,13,1.0,24,1.0,11,1.0
110,11,1.0,13,1.0,11,1.0
111,16,1.0,22,1.0,13,1.0
112,12,1.0,15,1.0,8,1.0
113,8,1.0,12,1.0,10,1.0
114,12,1.0,13,1.0,10,1.0
115,12,1.0,13,1.0,16,1.0
116,11,1.0,13,1.0,12,1.0
117,11,1.0,12,1.0,12,1.0
118,8,1.0,9,1.0,9,1.0
119,15,1.0,10,1.0,13,1.0
120,10,1.0,9,1.0,11,1.0
121,12,1.0,13,1.0,11,1.0
122,10,1.0,12,1.0,15,1.0
123,11,1.0,10,1.0,27,1.0
124,9,1.0,11,1.0,13,1.0
125,15,1.0,13,1.0,11,1.0
126,8,1.0,12,1.0,10,1.0
127,22,1.0,11,1.0,10,1.0
128,14,1.0,14,1.0,11,1.0
129,9,1.0,12,1.0,10,1.0
130,9,1.0,12,1.0,16,1.0
131,10,1.0,9,1.0,9,1.0
132,9,1.0,10,1.0,13,1.0
133,12,1.0,10,1.0,9,1.0
134,9,1.0,16,1.0,15,1.0
135,8,1.0,16,1.0,11,1.0
136,10,1.0,10,1.0,10,1.0
137,11,1.0,11,1.0,10,1.0
138,14,1.0,10,1.0,12,1.0
139,11,1.0,12,1.0,11,1.0
140,15,1.0,8,1.0,9,1.0
141,11,1.0,10,1.0,13,1.0
142,11,1.0,8,1.0,9,1.0
143,9,1.0,8,1.0,11,1.0
144,12,1.0,12,1.0,9,1.0
145,10,1.0,9,1.0,10,1.0
146,11,1.0,11,1.0,9,1.0
147,9,1.0,9,1.0,10,1.0
148,9,1.0,13,1.0,17,1.0
149,11,1.0,9,1.0,10,1.0
150,12,1.0,9,1.0,10,1.0
151,11,1.0,10,1.0,10,1.0
152,10,1.0,10,1.0,8,1.0
153,14,1.0,8,1.0,19,1.0
154,8,1.0,12,1.0,12,1.0
155,11,1.0,11,1.0,12,1.0
156,11,1.0,11,1.0,10,1.0
157,11,1.0,11,1.0,12,1.0
158,10,1.0,9,1.0,10,1.0
159,9,1.0,9,1.0,9,1.0
160,10,1.0,12,1.0,9,1.0
161,8,1.0,8,1.0,10,1.0
162,11,1.0,10,1.0,8,1.0
163,11,1.0,10,1.0,10,1.0
164,10,1.0,8,1.0,10,1.0
