decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.2,0.2,1,10000,35,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_144739,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,35,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_160035,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,3,0.03,20210314_172551,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,4096,64,100,2,0,0.0,20210314_174013,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_184117,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_185444,16,True,False,U
EDF,0.01,1,0.99,0,0,0,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_185847,16,True,False,U
EDF,0.01,1,0.99,0,0,0,1,10000,15,100,1,200,-1,2,256,64,100,10,0,0.0,20210314_190535,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,10,0,0.0,20210314_190930,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,0.1,0,0.0,20210314_191152,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,128,128,1e-05,0,0.0,20210317_102251,4,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,128,128,1e-05,0,0.0,20210317_112949,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,128,128,2,0,0.0,20210317_115230,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,256,128,2,0,0.0,20210317_120837,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,256,128,2,0,0.0,20210317_124200,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,256,128,2,0,0.0,20210317_130959,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,50,150,1,200,-1,2,256,256,128,2,0,0.0,20210317_132647,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,50,150,1,200,-1,2,256,256,128,5,0,0.0,20210317_174131,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,50,150,1,200,-1,2,256,256,128,10,2,0.013333333333333334,20210317_181145,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,75,150,1,200,-1,2,256,256,128,5,4,0.02666666666666667,20210317_182626,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,100,150,1,200,-1,2,256,128,128,5,0,0.0,20210317_190950,4,True,False,G
SEDF,0,0,0,0.4,0.2,0.2,1,10000,100,150,1,200,-1,2,256,128,128,5,0,0.0,20210317_200620,4,True,False,B
SEDF,0,0,0,0.4,0.2,0.2,1,10000,100,150,1,200,-1,2,256,128,128,5,0,0.0,20210317_205410,4,True,False,Q
SEDF,0,0,0,0.4,0.2,0.2,1,10000,100,150,1,200,-1,2,256,256,128,5,1,0.006666666666666667,20210317_214255,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,5,3,0.02,20210317_224620,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,10,0,0.0,20210320_171522,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,7.5,3,0.02,20210322_140608,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,15,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_121337,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,10,15,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_123138,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,10,15,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_123307,4,True,False,G
EDF,0.01,1,0.99,0,0,0,1,10000,10,20,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_123423,4,True,False,G
EDF,0.01,1,0.99,0,0,0,1,10000,100,150,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_124011,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,7.5,2,0.013333333333333334,20210323_133441,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,256,128,128,7.5,1,0.005,20210323_142056,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,200,1,200,-1,2,256,128,128,7.5,0,0.0,20210323_170718,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,250,1,200,-1,2,256,128,128,7.5,1,0.004,20210324_094108,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,250,1,200,-1,2,256,128,128,7.5,1,0.004,20210324_111923,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,7.5,1,0.006666666666666667,20210324_125433,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,0.9,10000,100,150,1,200,-1,2,256,128,128,7.5,1,0.006666666666666667,20210324_144202,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,512,128,256,7.5,2,0.013333333333333334,20210325_105415,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,150,1,200,-1,2,256,128,128,7.5,0,0.0,20210325_144310,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,0.9,10000,100,150,1,200,-1,2,256,128,128,7.5,0,0.0,20210329_105033,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,0.9,10000,100,200,1,200,-1,2,256,128,128,7.5,0,0.0,20210329_113309,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,1024,512,512,7.5,2,0.01,20210329_154615,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,32,16,16,7.5,2,0.01,20210329_194659,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,200,1,200,-1,2,32,16,16,7.5,1,0.005,20210329_200612,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,32,16,16,0.001,0,0.0,20210330_084736,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,32,16,16,100,0,0.0,20210330_091738,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,200,1,200,-1,2,32,16,16,15,0,0.0,20210330_092614,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,256,128,128,10,0,0.0,20210330_093707,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,256,128,128,7.5,0,0.0,20210330_114546,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,256,128,128,7.5,0,0.0,20210409_111833,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,300,1,200,-1,2,256,128,128,7.5,0,0.0,20210419_155108,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,200,-1,2,256,128,128,5000,0,0.0,20210421_131014,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,128,128,10,3,0.01,20210429_123156,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,16,128,10,0,0.0,20210429_141622,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,16,128,1000,11,0.03666666666666667,20210429_160900,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,16,128,5000,0,0.0,20210429_182746,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,16,128,500,4,0.013333333333333334,20210429_193952,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,300,1,1,-1,2,256,16,128,500,2,0.006666666666666667,20210430_094716,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,32,16,16,500,0,0.0,20210430_125641,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,512,16,256,500,0,0.0,20210430_131459,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,2,0.006666666666666667,20210430_164447,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,25,0.08333333333333333,20210430_181703,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,0.9,10000,100,300,1,1,-1,2,256,8,128,500,3,0.01,20210501_131915,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1.0,10000,100,300,1,1,-1,2,256,2,128,500,1,0.0033333333333333335,20210501_145207,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1.0,10000,100,300,1,1,-1,2,256,4,128,500,0,0.0,20210501_162245,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1.0,10000,100,300,1,1,-1,2,16,8,8,500,0,0.0,20210501_174736,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,64,8,16,500,0,0.0,20210501_225020,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.4,1,10000,100,500,1,1,-1,2,256,8,128,500,0,0.0,20210503_151539,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,18,0.06,20210503_190943,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,150,300,1,1,-1,2,256,8,128,500,5,0.016666666666666666,20210506_105453,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,200,300,1,1,-1,2,256,8,128,500,1,0.0033333333333333335,20210506_150814,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,50,300,1,1,-1,2,256,8,128,500,0,0.0,20210506_174253,4,True,False,G
EDF,0.01,1,0.99,0,0,0,1,10000,100,300,1,1,-1,2,256,8,128,500,0,0.0,20210506_183757,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,0,0.0,20210507_111354,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,0,0.0,20210507_125436,4,True,False,G
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,6,0.02,20210510_112132,4,True,False,U
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,256,8,128,500,1,0.0033333333333333335,20210510_130226,4,True,False,S
SEDF,0,0,0,0.4,0.3,0.3,1,10000,100,300,1,1,-1,2,128,8,64,500,2,0.006666666666666667,20210510_153910,4,True,False,U
