decay_fn,epsilon_min,epsilon_max,epsilon_decay,alpha,beta,delta,reward_discount,mem_size,batch_size,episodes,reward,max_score,min_score,action_space,qrtm_n_clauses,ta_states,T,s,wins,win_ratio,run_date,bin_length,incremental,weighted_clauses,binarizer
SEDF,0,0,0,0.4,0.2,0.2,1,10000,35,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_144739,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,35,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_160035,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,3,0.03,20210314_172551,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,4096,64,100,2,0,0.0,20210314_174013,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_184117,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_185444,16,True,False,U
EDF,0.01,1,0.99,0,0,0,1,10000,15,100,1,200,-1,2,256,64,100,2,0,0.0,20210314_185847,16,True,False,U
EDF,0.01,1,0.99,0,0,0,1,10000,15,100,1,200,-1,2,256,64,100,10,0,0.0,20210314_190535,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,10,0,0.0,20210314_190930,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,15,100,1,200,-1,2,256,64,100,0.1,0,0.0,20210314_191152,16,True,False,U
SEDF,0,0,0,0.4,0.2,0.2,1,10000,25,150,1,200,-1,2,256,128,128,1e-05,0,0.0,20210317_102251,4,True,False,U
